family,north,south
Agromyzidae,3,0
Aphididae,28,1
Apionidae,1,0
Araneidae,17,36
Arionidae,2,0
Bdellidae,1,0
Calliphoridae,3,0
Caribidae,5,3
Ceratopogonidae,65,29
Cercopidae,23,9
Chironomidae,1,0
Chrysomelidae,1,0
Cicadellidae,4,7
Cixiidae,0,1
Clubionidae,0,2
Delphacidae,23,1
Dicyrtomidae,2,0
Dolichopodidae,8,4
Empididae,1,0
Entomobryidae,1,0
Ephydridae,1,0
Formicidae,0,1
Helicidae,1,0
Hippoboscidae,0,8
Isotomidae,7,0
Julidae,1,0
Limoniidae,0,2
Linyphiidae,0,4
Lonchopteridae,3,0
Lycosidae,1,0
Lygaeidae,2,0
Machilidae,1,0
Macrosternodesmidae,1,0
Miridae,4,4
Muscidae,6,0
Myrmicinae,6,0
Nabidae,0,1
Nymphalidae,1,0
Pentatomidae,1,0
Phalangiidae,0,1
Philodromidae,0,1
Phlaeothripidae,0,1
Scathophagidae,1,0
Sciaridae,0,1
Sepsidae,2,1
Steninae,1,0
Tabanidae,0,1
Tenthredinidae,0,1
Tetragnathidae,5,15
Tipulidae,8,5
Tortricidae,0,1
