family,organismQuantity
Agromyzidae,3
Aphididae,28
Apionidae,1
Araneidae,17
Arionidae,2
Bdellidae,1
Calliphoridae,3
Caribidae,5
Ceratopogonidae,65
Cercopidae,23
Chironomidae,1
Chrysomelidae,1
Cicadellidae,4
Delphacidae,23
Dicyrtomidae,2
Dolichopodidae,8
Empididae,1
Entomobryidae,1
Ephydridae,7
Helicidae,1
Isotomidae,7
Julidae,1
Lonchopteridae,3
Lycosidae,1
Lygaeidae,2
Machilidae,1
Macrosternodesmidae,1
Miridae,4
Muscidae,6
Myrmicinae,6
Nymphalidae,1
Pentatomidae,1
Scathophagidae,1
Sepsidae,2
Steninae,1
Tetragnathidae,5
Tipulidae,8
